vagrant@vagrant-ubuntu-trusty-64:/opt/stack/opendaylight$ sudo tail -f /var/log/ apache2/keystone_access.log & echo $! >/opt/stack/status/stack/key-access.pid; f g || echo "key-access failed to start" | tee "/opt/stack/status/stack/key-access .failure"
[1] 17737
sudo tail -f /var/log/apache2/keystone_access.log
10.0.2.15 - - [11/Nov/2015:22:30:51 +0000] "GET /v2.0/ HTTP/1.1" 200 335 "-" "curl/7.35.0" 2737298(us)
10.0.2.15 - - [11/Nov/2015:22:30:54 +0000] "GET /v3/domains/default HTTP/1.1" 200 216 "-" "python-keystoneclient" 2724279(us)
10.0.2.15 - - [11/Nov/2015:22:30:57 +0000] "POST /v3/projects HTTP/1.1" 201 261 "-" "python-keystoneclient" 2809956(us)
10.0.2.15 - - [11/Nov/2015:22:31:00 +0000] "GET /v3/domains/default HTTP/1.1" 200 216 "-" "python-keystoneclient" 2697819(us)
10.0.2.15 - - [11/Nov/2015:22:31:03 +0000] "POST /v3/users HTTP/1.1" 201 197 "-" "python-keystoneclient" 2831138(us)
10.0.2.15 - - [11/Nov/2015:22:31:06 +0000] "POST /v3/roles HTTP/1.1" 201 156 "-" "python-keystoneclient" 2609559(us)
10.0.2.15 - - [11/Nov/2015:22:31:10 +0000] "GET /v3/users/f5e448af4c544c38abc95d39969f749c HTTP/1.1" 200 197 "-" "python-keystoneclient" 18388(us)
10.0.2.15 - - [11/Nov/2015:22:31:10 +0000] "GET /v3/projects/f382be413a074d91bb298f929b51aec7 HTTP/1.1" 200 261 "-" "python-keystoneclient" 16869(us)
10.0.2.15 - - [11/Nov/2015:22:31:10 +0000] "GET /v3/projects/f382be413a074d91bb298f929b51aec7/users/f5e448af4c544c38abc95d39969f749c/roles HTTP/1.1" 200 180 "-" "python-keystoneclient" 25823(us)
10.0.2.15 - - [11/Nov/2015:22:31:10 +0000] "GET /v3/roles/d03f07ac440542239ec22f75d9785e4b HTTP/1.1" 200 156 "-" "python-keystoneclient" 14701(us)
10.0.2.15 - - [11/Nov/2015:22:31:10 +0000] "GET /v3/users/f5e448af4c544c38abc95d39969f749c HTTP/1.1" 200 197 "-" "python-keystoneclient" 12233(us)
10.0.2.15 - - [11/Nov/2015:22:31:10 +0000] "GET /v3/projects/f382be413a074d91bb298f929b51aec7 HTTP/1.1" 200 261 "-" "python-keystoneclient" 12048(us)
10.0.2.15 - - [11/Nov/2015:22:31:10 +0000] "PUT /v3/projects/f382be413a074d91bb298f929b51aec7/users/f5e448af4c544c38abc95d39969f749c/roles/d03f07ac440542239ec22f75d9785e4b HTTP/1.1" 204 - "-" "python-keystoneclient" 26407(us)
10.0.2.15 - - [11/Nov/2015:22:31:11 +0000] "GET /v3/users/f5e448af4c544c38abc95d39969f749c HTTP/1.1" 200 197 "-" "python-keystoneclient" 12371(us)
10.0.2.15 - - [11/Nov/2015:22:31:11 +0000] "GET /v3/projects/f382be413a074d91bb298f929b51aec7 HTTP/1.1" 200 261 "-" "python-keystoneclient" 14253(us)
10.0.2.15 - - [11/Nov/2015:22:31:11 +0000] "GET /v3/projects/f382be413a074d91bb298f929b51aec7/users/f5e448af4c544c38abc95d39969f749c/roles HTTP/1.1" 200 326 "-" "python-keystoneclient" 25677(us)
10.0.2.15 - - [11/Nov/2015:22:31:12 +0000] "GET /v3/domains/default HTTP/1.1" 200 216 "-" "python-keystoneclient" 16628(us)
10.0.2.15 - - [11/Nov/2015:22:31:12 +0000] "POST /v3/projects HTTP/1.1" 201 263 "-" "python-keystoneclient" 81951(us)
10.0.2.15 - - [11/Nov/2015:22:31:13 +0000] "POST /v3/roles HTTP/1.1" 201 158 "-" "python-keystoneclient" 12954(us)
10.0.2.15 - - [11/Nov/2015:22:31:13 +0000] "POST /v3/roles HTTP/1.1" 201 164 "-" "python-keystoneclient" 14975(us)
10.0.2.15 - - [11/Nov/2015:22:31:14 +0000] "POST /v3/roles HTTP/1.1" 201 157 "-" "python-keystoneclient" 16961(us)
10.0.2.15 - - [11/Nov/2015:22:31:15 +0000] "POST /v3/roles HTTP/1.1" 201 162 "-" "python-keystoneclient" 82777(us)
10.0.2.15 - - [11/Nov/2015:22:31:15 +0000] "GET /v3/domains/default HTTP/1.1" 200 216 "-" "python-keystoneclient" 15706(us)
10.0.2.15 - - [11/Nov/2015:22:31:15 +0000] "POST /v3/projects HTTP/1.1" 201 274 "-" "python-keystoneclient" 23153(us)
10.0.2.15 - - [11/Nov/2015:22:31:16 +0000] "GET /v3/domains/default HTTP/1.1" 200 216 "-" "python-keystoneclient" 12201(us)
10.0.2.15 - - [11/Nov/2015:22:31:16 +0000] "POST /v3/projects HTTP/1.1" 201 260 "-" "python-keystoneclient" 26407(us)
10.0.2.15 - - [11/Nov/2015:22:31:17 +0000] "GET /v3/domains/default HTTP/1.1" 200 216 "-" "python-keystoneclient" 12967(us)
10.0.2.15 - - [11/Nov/2015:22:31:17 +0000] "POST /v3/users HTTP/1.1" 201 225 "-" "python-keystoneclient" 30408(us)
10.0.2.15 - - [11/Nov/2015:22:31:17 +0000] "GET /v3/users/afbb11c8c7244ad195e2dcbba4f6ffe1 HTTP/1.1" 200 225 "-" "python-keystoneclient" 13699(us)
10.0.2.15 - - [11/Nov/2015:22:31:17 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb HTTP/1.1" 200 260 "-" "python-keystoneclient" 13413(us)
10.0.2.15 - - [11/Nov/2015:22:31:17 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb/users/afbb11c8c7244ad195e2dcbba4f6ffe1/roles HTTP/1.1" 200 180 "-" "python-keystoneclient" 17071(us)
10.0.2.15 - - [11/Nov/2015:22:31:18 +0000] "GET /v3/roles/4580378bd82941baaed3a2da0d132261 HTTP/1.1" 200 157 "-" "python-keystoneclient" 20481(us)
10.0.2.15 - - [11/Nov/2015:22:31:18 +0000] "GET /v3/users/afbb11c8c7244ad195e2dcbba4f6ffe1 HTTP/1.1" 200 225 "-" "python-keystoneclient" 11544(us)
10.0.2.15 - - [11/Nov/2015:22:31:18 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb HTTP/1.1" 200 260 "-" "python-keystoneclient" 15221(us)
10.0.2.15 - - [11/Nov/2015:22:31:18 +0000] "PUT /v3/projects/dc23190b3697437dba126b4ba31496eb/users/afbb11c8c7244ad195e2dcbba4f6ffe1/roles/4580378bd82941baaed3a2da0d132261 HTTP/1.1" 204 - "-" "python-keystoneclient" 30248(us)
10.0.2.15 - - [11/Nov/2015:22:31:19 +0000] "GET /v3/users/afbb11c8c7244ad195e2dcbba4f6ffe1 HTTP/1.1" 200 225 "-" "python-keystoneclient" 12273(us)
10.0.2.15 - - [11/Nov/2015:22:31:19 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb HTTP/1.1" 200 260 "-" "python-keystoneclient" 12340(us)
10.0.2.15 - - [11/Nov/2015:22:31:19 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb/users/afbb11c8c7244ad195e2dcbba4f6ffe1/roles HTTP/1.1" 200 327 "-" "python-keystoneclient" 19406(us)
10.0.2.15 - - [11/Nov/2015:22:31:19 +0000] "GET /v3/users/f5e448af4c544c38abc95d39969f749c HTTP/1.1" 200 197 "-" "python-keystoneclient" 12950(us)
